text_len,mean_cer
3,41.74086421191614
4,43.59182575037768
5,44.9765375298263
6,46.37098197427075
7,48.24131779516627
8,49.50451538189326
9,50.74937134897146
10,51.820362781040004
11,53.08721671362427
12,54.30024929507791
13,55.31243298767397
14,36.221419414365464
15,33.71941620923726
16,32.22155688202013
17,30.564278102099838
18,28.679521661732668
19,27.129926799617664
20,25.78407757763696
21,24.612472639365357
22,24.029842500156104
23,23.559728615813498
24,22.666559285144167
25,22.238392285769738
26,21.886183866170015
27,20.72641352146497
28,20.311219902008
29,19.83040639401871
30,19.712794915330118
31,19.455374945009996
32,19.03561728659685
33,18.896075103434747
34,18.72977528192704
35,18.627244065166458
36,18.316294583574777
37,18.2692945505206
38,18.18550131237168
39,18.220557312965067
40,17.859422666129422
41,17.642302114204952
42,17.43102599113022
43,17.50933310068733
44,17.326214332662904
45,17.146886163138657
46,16.884264463362804
47,16.980806483636258
48,16.95664046174515
49,17.185310409339504
50,16.90344851049161
51,16.656977511190423
52,16.70432189598235
53,16.671238960402373
54,16.466705134750683
55,16.454939840730383
56,16.41246659825714
57,16.24194147121028
58,16.3587018872814
59,16.275603557859537
60,16.522351011115386
61,16.485700561461844
62,16.391978297769025
63,16.435901844982048
64,16.52853324099575
65,16.67683517224342
66,16.73585721081091
67,16.668881293294348
68,16.88480605434481
69,16.765295648912335
70,16.91023329058281
71,17.04069981479934
72,17.15496543304526
73,17.28873002992297
74,17.382721210848096
75,17.646413217006618
76,17.88443417437742
77,17.984883979251958
78,18.148990083959312
79,18.242220309643205
80,18.170798717068706
81,18.141915397659076
82,18.380836570383064
83,18.400978637507393
84,18.682557176415738
85,18.761766767005835
86,18.905062846417387
87,19.17442881648963
88,19.13740451212211
89,19.228571865170426
90,19.511202268053992
91,19.638407701509426
92,19.91236340142917
93,20.010355853720867
94,20.377869598018442
95,20.626520813443662
96,20.781256561732793
97,21.236503179658865
98,21.53171567475857
99,21.707897863517516
100,22.00558919136295
101,22.410553779775817
102,22.657598401820437
103,22.71771715196917
104,22.812781013879775
105,23.181313619544095
106,23.74285943736574
107,24.198879129725444
108,24.520135662769633
109,24.887356643847387
110,24.92430986615022
111,25.267456996797353
112,25.39972279684076
113,25.53878968747856
114,25.68177321682842
115,25.833892793591044
116,26.008951472546496
117,26.0858229649225
118,26.167825857084342
119,26.653138756190344
120,27.401908379639938
121,27.887272468872823
122,28.196478212238876
123,28.53657550105883
124,28.781716839554672
125,29.164790707542213
126,29.346458645503056
127,29.531378606031534
128,29.940492411333498
129,30.045093702365666
130,30.698622726300474
131,30.734642262320012
132,31.465734417838803
133,31.9465931013607
134,32.64344570674989
135,33.294687386217376
136,33.69920290345876
137,34.00820929644371
138,34.247112875054825
139,34.65852428646624
140,34.87682855746993
141,35.11633385172711
142,35.400054773307595
143,36.119354360297855
144,36.90586491374189
145,37.434162342334346
146,37.575821554534116
147,37.86400129124326
148,38.54100144748617
149,39.14278450462145
150,39.160409555524126
151,39.918059891299464
152,40.23671937277115
153,40.68172156183144
154,41.17784200580464
155,41.26428864408055
156,42.21250386276991
157,42.35971156010068
158,43.41359982562282
159,44.86131539833839
160,45.003176167560284
161,45.747454396093076
162,46.63324717468292
163,46.60846458433795
164,47.097027305508625
165,47.39235529086659
166,48.601740356026895
167,49.55697672319508
168,50.357319803945295
169,51.21132673429272
170,52.052178030803724
171,52.65266261566331
172,53.456747988569255
173,54.235090016911286
174,54.82828261824768
175,56.44324643545831
176,56.651572456284335
177,57.96882838978927
178,59.071656643316814
179,59.01860669993521
180,60.707685482209264
181,61.86422572988728
182,62.09196976179343
183,63.52075442696448
184,64.62533178278026
185,66.30117073186243
186,67.29677512746683
187,68.15972454277015
188,69.33469678581862
189,70.05743378664549
190,70.92877172133089
191,72.23045059800977
192,72.87300538524173
193,73.9353176604253
194,74.4371031717315
195,74.59388599355587
196,75.29190565956334
197,76.05663405849155
198,76.07414083167757
199,76.28705174742015
200,77.19873465072985
201,77.5854366999706
202,77.92690258584607
203,78.24081243165081
204,78.83999184897223
205,79.10814147803092
206,79.52936986204999
207,79.74142235981678
208,79.44713997244449
209,80.07554062378094
210,80.9314174401107
211,81.12937781307107
212,81.48505203836778
213,81.44734353778799
214,82.16392832921429
215,82.17552671857003
216,82.68658362913914
217,83.04162558577916
218,83.73565258391457
219,84.3336236917541
220,83.77530023023179
221,83.46383542691915
222,84.42572362899016
223,84.72184463550481
224,84.17291742896562
