,model_type,iteration,alignment_edit_distance_rate,phoneme_l1_distance
141,flowtron_CTC_guided,0,99.73883198361908,15.266011639407488
234,flowtron_CTC_guided,2000,98.7561901768395,16.408790152402197
183,flowtron_CTC_guided,4000,86.99326942377974,9.006484754632863
197,flowtron_CTC_guided,6000,94.26311248353235,14.366379303225356
162,flowtron_CTC_guided,8000,92.9141421425738,13.739378515809697
157,flowtron_CTC_guided,10000,74.15122728273008,6.667798559770548
176,flowtron_CTC_guided,12000,69.94726995447877,5.919007800168585
134,flowtron_CTC_guided,14000,67.98921166967087,4.624264829527694
148,flowtron_CTC_guided,16000,69.96887620000419,5.269821880773943
219,flowtron_CTC_guided,18000,71.46894661358108,5.823400405519849
242,flowtron_CTC_guided,20000,68.37070965124032,5.249776525875917
225,flowtron_CTC_guided,22000,67.42013322674084,4.811716250545084
206,flowtron_CTC_guided,24000,71.27540448903882,5.69615649778967
190,flowtron_CTC_guided,26000,68.13423192298816,5.258437679774287
167,flowtron_CTC_guided,28000,67.59652949926911,5.171810382962166
192,flowtron_CTC_guided,30000,68.68267743218581,4.822797645072227
210,flowtron_CTC_guided,32000,70.91610404445353,5.338691141809515
223,flowtron_CTC_guided,34000,72.06930100478722,5.8565799181551395
236,flowtron_CTC_guided,36000,66.05311250828166,4.639123135859234
124,flowtron_CTC_guided,38000,69.62945707126622,5.315807232689276
145,flowtron_CTC_guided,40000,68.88155930886447,5.1685846301348075
129,flowtron_CTC_guided,42000,60.48236228334953,3.2637967118037725
178,flowtron_CTC_guided,44000,67.46512765335521,4.529647324270729
166,flowtron_CTC_guided,46000,63.56962160790579,4.0198134981717395
202,flowtron_CTC_guided,48000,66.23491933906416,4.565109860341925
155,flowtron_CTC_guided,50000,60.381998511692906,3.6252138035471067
177,flowtron_CTC_guided,52000,67.1144766390671,4.459817897838276
135,flowtron_CTC_guided,54000,66.92827579024797,4.417664035362249
147,flowtron_CTC_guided,56000,63.925159751466836,3.7789242055452483
221,flowtron_CTC_guided,58000,68.58389276267981,5.138670561598592
241,flowtron_CTC_guided,60000,63.6687559544064,3.985115711487894
226,flowtron_CTC_guided,62000,62.57850886230081,3.987193320107471
207,flowtron_CTC_guided,64000,64.33935558064641,3.9920132862932163
